Datetime,Price (EUR/MWh)
2023-01-01 00:00:00,0.0
2023-01-01 01:00:00,0.0
2023-01-01 02:00:00,0.0
2023-01-01 03:00:00,0.0
2023-01-01 04:00:00,0.0
2023-01-01 05:00:00,0.0
2023-01-01 06:00:00,0.0
2023-01-01 07:00:00,0.0
2023-01-01 08:00:00,0.0
2023-01-01 09:00:00,0.0
2023-01-01 10:00:00,0.0
2023-01-01 11:00:00,0.0
2023-01-01 12:00:00,0.0
2023-01-01 13:00:00,0.1
2023-01-01 14:00:00,0.1
2023-01-01 15:00:00,0.01
2023-01-01 16:00:00,1.0
2023-01-01 17:00:00,4.16
2023-01-01 18:00:00,15.1
2023-01-01 19:00:00,19.51
2023-01-01 20:00:00,24.61
2023-01-01 21:00:00,40.07
2023-01-01 22:00:00,40.07
2023-01-01 23:00:00,16.0
2023-01-02 00:00:00,61.38
2023-01-02 01:00:00,42.17
2023-01-02 02:00:00,42.0
2023-01-02 03:00:00,42.07
2023-01-02 04:00:00,42.17
2023-01-02 05:00:00,63.22
2023-01-02 06:00:00,85.0
2023-01-02 07:00:00,105.36
2023-01-02 08:00:00,131.0
2023-01-02 09:00:00,131.58
2023-01-02 10:00:00,127.0
2023-01-02 11:00:00,126.07
2023-01-02 12:00:00,127.0
2023-01-02 13:00:00,130.0
2023-01-02 14:00:00,131.0
2023-01-02 15:00:00,128.0
2023-01-02 16:00:00,131.88
2023-01-02 17:00:00,160.0
2023-01-02 18:00:00,174.74
2023-01-02 19:00:00,165.76
2023-01-02 20:00:00,153.0
2023-01-02 21:00:00,141.67
2023-01-02 22:00:00,134.91
2023-01-02 23:00:00,124.22
2023-01-03 00:00:00,130.01
2023-01-03 01:00:00,120.0
2023-01-03 02:00:00,118.76
2023-01-03 03:00:00,115.0
2023-01-03 04:00:00,113.63
2023-01-03 05:00:00,116.27
2023-01-03 06:00:00,138.92
2023-01-03 07:00:00,155.59
2023-01-03 08:00:00,169.17
2023-01-03 09:00:00,171.18
2023-01-03 10:00:00,154.9
2023-01-03 11:00:00,146.71
2023-01-03 12:00:00,133.33
2023-01-03 13:00:00,130.0
2023-01-03 14:00:00,126.0
2023-01-03 15:00:00,120.0
2023-01-03 16:00:00,135.56
2023-01-03 17:00:00,156.3
2023-01-03 18:00:00,169.01
2023-01-03 19:00:00,160.99
2023-01-03 20:00:00,152.1
2023-01-03 21:00:00,149.92
2023-01-03 22:00:00,132.53
2023-01-03 23:00:00,115.0
2023-01-04 00:00:00,119.99
2023-01-04 01:00:00,100.0
2023-01-04 02:00:00,90.23
2023-01-04 03:00:00,84.2
2023-01-04 04:00:00,80.23
2023-01-04 05:00:00,87.31
2023-01-04 06:00:00,109.0
2023-01-04 07:00:00,105.1
2023-01-04 08:00:00,134.16
2023-01-04 09:00:00,129.3
2023-01-04 10:00:00,120.7
2023-01-04 11:00:00,96.77
2023-01-04 12:00:00,105.03
2023-01-04 13:00:00,106.0
2023-01-04 14:00:00,105.07
2023-01-04 15:00:00,103.9
2023-01-04 16:00:00,107.98
2023-01-04 17:00:00,129.82
2023-01-04 18:00:00,167.29
2023-01-04 19:00:00,160.6
2023-01-04 20:00:00,151.55
2023-01-04 21:00:00,140.61
2023-01-04 22:00:00,126.58
2023-01-04 23:00:00,104.75
2023-01-05 00:00:00,95.05
2023-01-05 01:00:00,79.21
2023-01-05 02:00:00,68.07
2023-01-05 03:00:00,64.27
2023-01-05 04:00:00,61.97
2023-01-05 05:00:00,65.1
2023-01-05 06:00:00,95.05
2023-01-05 07:00:00,108.23
2023-01-05 08:00:00,135.0
2023-01-05 09:00:00,123.27
2023-01-05 10:00:00,104.97
2023-01-05 11:00:00,113.53
2023-01-05 12:00:00,100.82
2023-01-05 13:00:00,96.44
2023-01-05 14:00:00,93.9
2023-01-05 15:00:00,91.16
2023-01-05 16:00:00,94.43
2023-01-05 17:00:00,118.9
2023-01-05 18:00:00,163.2
2023-01-05 19:00:00,177.98
2023-01-05 20:00:00,163.99
2023-01-05 21:00:00,152.0
2023-01-05 22:00:00,135.0
2023-01-05 23:00:00,118.9
2023-01-06 00:00:00,107.21
2023-01-06 01:00:00,101.1
2023-01-06 02:00:00,96.73
2023-01-06 03:00:00,81.37
2023-01-06 04:00:00,75.75
2023-01-06 05:00:00,81.0
2023-01-06 06:00:00,97.45
2023-01-06 07:00:00,107.82
2023-01-06 08:00:00,122.8
2023-01-06 09:00:00,125.0
2023-01-06 10:00:00,120.7
2023-01-06 11:00:00,110.05
2023-01-06 12:00:00,103.36
2023-01-06 13:00:00,90.23
2023-01-06 14:00:00,80.23
2023-01-06 15:00:00,70.0
2023-01-06 16:00:00,80.43
2023-01-06 17:00:00,121.2
2023-01-06 18:00:00,128.47
2023-01-06 19:00:00,137.73
2023-01-06 20:00:00,137.73
2023-01-06 21:00:00,132.0
2023-01-06 22:00:00,99.9
2023-01-06 23:00:00,91.1
2023-01-07 00:00:00,53.42
2023-01-07 01:00:00,40.3
2023-01-07 02:00:00,25.5
2023-01-07 03:00:00,24.8
2023-01-07 04:00:00,20.0
2023-01-07 05:00:00,14.85
2023-01-07 06:00:00,14.85
2023-01-07 07:00:00,14.0
2023-01-07 08:00:00,18.28
2023-01-07 09:00:00,20.2
2023-01-07 10:00:00,18.28
2023-01-07 11:00:00,14.0
2023-01-07 12:00:00,10.35
2023-01-07 13:00:00,8.0
2023-01-07 14:00:00,5.46
2023-01-07 15:00:00,4.16
2023-01-07 16:00:00,8.0
2023-01-07 17:00:00,24.61
2023-01-07 18:00:00,40.0
2023-01-07 19:00:00,43.45
2023-01-07 20:00:00,50.0
2023-01-07 21:00:00,43.45
2023-01-07 22:00:00,30.0
2023-01-07 23:00:00,24.61
2023-01-08 00:00:00,7.0
2023-01-08 01:00:00,5.0
2023-01-08 02:00:00,4.2
2023-01-08 03:00:00,4.16
2023-01-08 04:00:00,4.16
2023-01-08 05:00:00,4.16
2023-01-08 06:00:00,4.16
2023-01-08 07:00:00,4.16
2023-01-08 08:00:00,4.16
2023-01-08 09:00:00,5.0
2023-01-08 10:00:00,5.1
2023-01-08 11:00:00,5.05
2023-01-08 12:00:00,4.9
2023-01-08 13:00:00,5.0
2023-01-08 14:00:00,4.6
2023-01-08 15:00:00,4.2
2023-01-08 16:00:00,4.6
